Date,Open,High,Low,Close
03/11/2022,"0.39657%","0.39657%","0.39657%","0.39657%"
03/10/2022,"0.38700%","0.38700%","0.38700%","0.38700%"
03/09/2022,"0.35171%","0.35171%","0.35171%","0.35171%"
03/08/2022,"0.32114%","0.32114%","0.32114%","0.32114%"
03/07/2022,"0.30629%","0.30629%","0.30629%","0.30629%"
03/04/2022,"0.31014%","0.31014%","0.31014%","0.31014%"
03/03/2022,"0.28914%","0.28914%","0.28914%","0.28914%"
03/02/2022,"0.24243%","0.24243%","0.24243%","0.24243%"
03/01/2022,"0.23457%","0.23457%","0.23457%","0.23457%"
02/28/2022,"0.24143%","0.24143%","0.24143%","0.24143%"
02/25/2022,"0.23057%","0.23057%","0.23057%","0.23057%"
02/24/2022,"0.20857%","0.20857%","0.20857%","0.20857%"
02/23/2022,"0.18686%","0.18686%","0.18686%","0.18686%"
02/22/2022,"0.17586%","0.17586%","0.17586%","0.17586%"
02/21/2022,"0.16200%","0.16200%","0.16200%","0.16200%"
02/18/2022,"0.17071%","0.17071%","0.17071%","0.17071%"
02/17/2022,"0.16171%","0.16171%","0.16171%","0.16171%"
02/16/2022,"0.13671%","0.13671%","0.13671%","0.13671%"
02/15/2022,"0.11971%","0.11971%","0.11971%","0.11971%"
02/14/2022,"0.12571%","0.12571%","0.12571%","0.12571%"
02/11/2022,"0.19114%","0.19114%","0.19114%","0.19114%"
02/10/2022,"0.12371%","0.12371%","0.12371%","0.12371%"
02/09/2022,"0.12271%","0.12271%","0.12271%","0.12271%"
02/08/2022,"0.12571%","0.12571%","0.12571%","0.12571%"
02/07/2022,"0.12471%","0.12471%","0.12471%","0.12471%"
02/04/2022,"0.11529%","0.11529%","0.11529%","0.11529%"
02/03/2022,"0.11129%","0.11129%","0.11129%","0.11129%"
02/02/2022,"0.10814%","0.10814%","0.10814%","0.10814%"
02/01/2022,"0.11300%","0.11300%","0.11300%","0.11300%"
01/31/2022,"0.10686%","0.10686%","0.10686%","0.10686%"
01/28/2022,"0.10629%","0.10629%","0.10629%","0.10629%"
01/27/2022,"0.10500%","0.10500%","0.10500%","0.10500%"
01/26/2022,"0.10914%","0.10914%","0.10914%","0.10914%"
01/25/2022,"0.10786%","0.10786%","0.10786%","0.10786%"
01/24/2022,"0.10843%","0.10843%","0.10843%","0.10843%"
01/21/2022,"0.10771%","0.10771%","0.10771%","0.10771%"
01/20/2022,"0.10929%","0.10929%","0.10929%","0.10929%"
01/19/2022,"0.10914%","0.10914%","0.10914%","0.10914%"
01/18/2022,"0.10371%","0.10371%","0.10371%","0.10371%"
01/17/2022,"0.10300%","0.10300%","0.10300%","0.10300%"
01/14/2022,"0.10329%","0.10329%","0.10329%","0.10329%"
01/13/2022,"0.10629%","0.10629%","0.10629%","0.10629%"
01/12/2022,"0.11014%","0.11014%","0.11014%","0.11014%"
01/11/2022,"0.11300%","0.11300%","0.11300%","0.11300%"
01/10/2022,"0.10400%","0.10400%","0.10400%","0.10400%"
01/07/2022,"0.10529%","0.10529%","0.10529%","0.10529%"
01/06/2022,"0.10414%","0.10414%","0.10414%","0.10414%"
01/05/2022,"0.10200%","0.10200%","0.10200%","0.10200%"
01/04/2022,"0.10371%","0.10371%","0.10371%","0.10371%"
01/03/2022,"0.10125%","0.10125%","0.10125%","0.10125%"
12/31/2021,"0.10125%","0.10125%","0.10125%","0.10125%"
