Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,33.259998,33.259998,32.959999,33.099998,31.396076,3325600
2019-12-03,32.799999,32.980000,32.700001,32.970001,31.272772,5059000
2019-12-04,33.139999,33.259998,33.130001,33.259998,31.547840,2228900
2019-12-05,33.259998,33.259998,33.150002,33.200001,31.490934,2117500
2019-12-06,33.450001,33.509998,33.430000,33.500000,31.775486,2199500
2019-12-09,33.430000,33.500000,33.349998,33.369999,31.652184,2343600
2019-12-10,33.340000,33.439999,33.270000,33.389999,31.671150,2573600
2019-12-11,33.400002,33.580002,33.349998,33.570000,31.841885,2253500
2019-12-12,32.830002,33.090000,32.770000,33.070000,32.068798,3613100
2019-12-13,33.220001,33.430000,33.160000,33.279999,32.272446,3220800
2019-12-16,33.590000,33.660000,33.570000,33.590000,32.573059,2516100
2019-12-17,33.509998,33.549999,33.470001,33.490002,32.476086,3992900
2019-12-18,33.459999,33.459999,33.380001,33.439999,32.427597,4806100
2019-12-19,33.380001,33.439999,33.330002,33.439999,32.427597,1954600
2019-12-20,33.500000,33.540001,33.470001,33.480000,32.466385,1990700
2019-12-23,33.470001,33.529999,33.459999,33.529999,32.514870,2157500
2019-12-24,33.490002,33.500000,33.430000,33.470001,32.456692,1297200
2019-12-26,33.509998,33.630001,33.470001,33.619999,32.602150,2121900
2019-12-27,33.779999,33.790001,33.669998,33.720001,32.699123,2068800
2019-12-30,33.750000,33.750000,33.450001,33.480000,32.466385,2869400
2019-12-31,33.490002,33.630001,33.410000,33.630001,32.611847,2364900
2020-01-02,33.849998,33.910000,33.770000,33.900002,32.873672,2755800
2020-01-03,33.480000,33.700001,33.430000,33.540001,32.524570,2579700
2020-01-06,33.450001,33.650002,33.450001,33.650002,32.631245,2247300
2020-01-07,33.619999,33.639999,33.529999,33.570000,32.553661,3308100
2020-01-08,33.529999,33.740002,33.500000,33.619999,32.602150,2412400
2020-01-09,33.720001,33.750000,33.650002,33.750000,32.728214,2392200
2020-01-10,33.740002,33.790001,33.599998,33.650002,32.631245,2447700
2020-01-13,33.689999,33.849998,33.610001,33.849998,32.825184,2587400
2020-01-14,33.770000,33.910000,33.750000,33.880001,32.854279,2269700
2020-01-15,33.820000,33.910000,33.810001,33.860001,32.834885,2204500
2020-01-16,33.919998,34.029999,33.889999,34.029999,32.999737,1643400
